label,message
spam,"Limited time offer! Get Rs. 499 cashback instantly, just verify your UPI PIN at http://account-verify.top/otp"
spam,"Final notice: pay Rs. 4,999 immediately or legal action will be taken. Pay now at http://secure-kyc-update.info/login"
spam,CONGRATULATIONS Anjali! Your number has won a lottery of Rs. 499. Reply with your bank details to claim.
ham,Happy birthday Neha! Hope you have a wonderful day.
spam,"Free recharge of Rs. 4,999 is waiting for you! Click http://secure-kyc-update.info/login now, offer ends soon."
spam,"Limited time offer! Get Rs. 25,000 cashback instantly, just verify your UPI PIN at http://payment-refund.xyz/claim"
spam,"Job offer: Earn Rs. 4,999 per day working from home. Register now at http://secure-kyc-update.info/login, limited seats!"
spam,"Dear customer, your ATM card will be blocked today. Update your details now: http://tinyurl.com/claim-reward"
spam,Congratulations! You have won Rs. 499 in the lucky draw. Claim now at http://tinyurl.com/claim-reward before it expires today.
spam,"Final notice: pay Rs. 1,20,000 immediately or legal action will be taken. Pay now at http://t.co/x9Ks2"
spam,Your your bank debit card is expiring today. Renew instantly by sharing OTP sent to your phone.
spam,Your parcel is on hold due to unpaid customs fee of Rs. 499. Pay here: http://t.co/x9Ks2
spam,"Free recharge of Rs. 4,999 is waiting for you! Click http://tinyurl.com/claim-reward now, offer ends soon."
spam,"Job offer: Earn Rs. 15,750 per day working from home. Register now at http://payment-refund.xyz/claim, limited seats!"
spam,"CONGRATULATIONS Rahul! Your number has won a lottery of Rs. 15,750. Reply with your bank details to claim."
spam,"Final notice: pay Rs. 15,750 immediately or legal action will be taken. Pay now at http://t.co/x9Ks2"
spam,Your HDFC Bank debit card is expiring today. Renew instantly by sharing OTP sent to your phone.
spam,"Congratulations! You have won Rs. 15,750 in the lucky draw. Claim now at http://bit.ly/verify-now before it expires today."
spam,"You have received a refund of Rs. 25,000. Click http://bit.ly/verify-now and enter your OTP to receive the amount."
spam,"Free recharge of Rs. 999 is waiting for you! Click http://t.co/x9Ks2 now, offer ends soon."
spam,Your electricity bill of Rs. 999 is overdue and will be disconnected tonight. Pay immediately: http://t.co/x9Ks2
spam,URGENT: Your your bank account has been suspended. Verify your KYC immediately at http://t.co/x9Ks2 or it will be permanently blocked.
spam,Your parcel is on hold due to unpaid customs fee of Rs. 999. Pay here: http://t.co/x9Ks2
spam,Congratulations! You have won Rs. 999 in the lucky draw. Claim now at http://t.co/x9Ks2 before it expires today.
ham,Your order from Amazon has been shipped and will arrive in 2 days.
spam,"Limited time offer! Get Rs. 25,000 cashback instantly, just verify your UPI PIN at http://secure-kyc-update.info/login"
spam,Security alert: unusual sign-in detected. Confirm it's you and enter OTP at http://tinyurl.com/claim-reward immediately.
spam,Alert! Someone tried to login to your account. Verify identity now at http://payment-refund.xyz/claim within 24 hours.
spam,Your PNB debit card is expiring today. Renew instantly by sharing OTP sent to your phone.
spam,Your Netflix account shows unusual activity. Confirm your password at http://payment-refund.xyz/claim to avoid suspension.
spam,Alert! Someone tried to login to your account. Verify identity now at http://bit.ly/verify-now within 24 hours.
spam,"Limited time offer! Get $500 cashback instantly, just verify your UPI PIN at http://secure-kyc-update.info/login"
spam,Security alert: unusual sign-in detected. Confirm it's you and enter OTP at http://secure-kyc-update.info/login immediately.
spam,Final notice: pay Rs. 999 immediately or legal action will be taken. Pay now at http://secure-kyc-update.info/login
ham,"Hey Sneha, are we still meeting for lunch tomorrow at 1pm?"
spam,"Job offer: Earn Rs. 25,000 per day working from home. Register now at http://tinyurl.com/claim-reward, limited seats!"
ham,"Your payment of Rs. 4,999 to Priya was successful."
spam,"Job offer: Earn Rs. 25,000 per day working from home. Register now at http://bit.ly/verify-now, limited seats!"
spam,"Your income tax refund of Rs. 1,20,000 is approved. Submit your bank details at http://bit.ly/verify-now to receive it."
spam,"Final notice: pay Rs. 1,20,000 immediately or legal action will be taken. Pay now at http://bit.ly/verify-now"
spam,"Free recharge of Rs. 25,000 is waiting for you! Click http://tinyurl.com/claim-reward now, offer ends soon."
spam,Final notice: pay $500 immediately or legal action will be taken. Pay now at http://bit.ly/verify-now
spam,You have received a refund of Rs. 999. Click http://t.co/x9Ks2 and enter your OTP to receive the amount.
spam,"Your parcel is on hold due to unpaid customs fee of Rs. 25,000. Pay here: http://secure-kyc-update.info/login"
spam,Final notice: pay Rs. 499 immediately or legal action will be taken. Pay now at http://t.co/x9Ks2
spam,"Congratulations! You have won Rs. 4,999 in the lucky draw. Claim now at http://account-verify.top/otp before it expires today."
ham,"Your payment of Rs. 1,20,000 to Vikram was successful."
spam,Your Google Pay account shows unusual activity. Confirm your password at http://tinyurl.com/claim-reward to avoid suspension.
spam,Your Google Pay account shows unusual activity. Confirm your password at http://payment-refund.xyz/claim to avoid suspension.
spam,"We could not deliver your package. Reschedule and pay Rs. 15,750 fee at http://payment-refund.xyz/claim within 12 hours."
spam,"Limited time offer! Get Rs. 4,999 cashback instantly, just verify your UPI PIN at http://tinyurl.com/claim-reward"
spam,Your income tax refund of Rs. 499 is approved. Submit your bank details at http://secure-kyc-update.info/login to receive it.
spam,"Job offer: Earn Rs. 999 per day working from home. Register now at http://bit.ly/verify-now, limited seats!"
ham,Your order from Netflix has been shipped and will arrive in 2 days.
spam,Your electricity bill of Rs. 999 is overdue and will be disconnected tonight. Pay immediately: http://tinyurl.com/claim-reward
spam,Final notice: pay Rs. 999 immediately or legal action will be taken. Pay now at http://bit.ly/verify-now
spam,"You have received a refund of Rs. 15,750. Click http://t.co/x9Ks2 and enter your OTP to receive the amount."
spam,"Congratulations! You have won Rs. 1,20,000 in the lucky draw. Claim now at http://tinyurl.com/claim-reward before it expires today."
spam,"Free recharge of Rs. 499 is waiting for you! Click http://secure-kyc-update.info/login now, offer ends soon."
spam,"Job offer: Earn Rs. 25,000 per day working from home. Register now at http://secure-kyc-update.info/login, limited seats!"
spam,URGENT: Your SBI account has been suspended. Verify your KYC immediately at http://tinyurl.com/claim-reward or it will be permanently blocked.
ham,"Your payment of Rs. 15,750 to Anjali was successful."
spam,Your your telecom provider account shows unusual activity. Confirm your password at http://payment-refund.xyz/claim to avoid suspension.
spam,Your Google Pay subscription payment failed. Update payment info urgently at http://tinyurl.com/claim-reward to avoid account closure.
ham,Your payment of $500 to Priya was successful.
spam,URGENT: Your ICICI Bank account has been suspended. Verify your KYC immediately at http://bit.ly/verify-now or it will be permanently blocked.
spam,"Dear customer, your ATM card will be blocked today. Update your details now: http://account-verify.top/otp"
spam,Congratulations! You have won $500 in the lucky draw. Claim now at http://tinyurl.com/claim-reward before it expires today.
spam,"Job offer: Earn Rs. 1,20,000 per day working from home. Register now at http://t.co/x9Ks2, limited seats!"
spam,Your Netflix subscription payment failed. Update payment info urgently at http://secure-kyc-update.info/login to avoid account closure.
spam,"Limited time offer! Get $500 cashback instantly, just verify your UPI PIN at http://account-verify.top/otp"
spam,"CONGRATULATIONS Amit! Your number has won a lottery of Rs. 4,999. Reply with your bank details to claim."
spam,Final notice: pay Rs. 999 immediately or legal action will be taken. Pay now at http://account-verify.top/otp
spam,Your income tax refund of Rs. 499 is approved. Submit your bank details at http://bit.ly/verify-now to receive it.
spam,Your Flipkart account shows unusual activity. Confirm your password at http://bit.ly/verify-now to avoid suspension.
spam,"Your electricity bill of Rs. 4,999 is overdue and will be disconnected tonight. Pay immediately: http://payment-refund.xyz/claim"
spam,"You have received a refund of Rs. 25,000. Click http://account-verify.top/otp and enter your OTP to receive the amount."
spam,Alert! Someone tried to login to your account. Verify identity now at http://tinyurl.com/claim-reward within 24 hours.
spam,URGENT: Your Axis Bank account has been suspended. Verify your KYC immediately at http://payment-refund.xyz/claim or it will be permanently blocked.
spam,"Limited time offer! Get $500 cashback instantly, just verify your UPI PIN at http://bit.ly/verify-now"
ham,"Your payment of Rs. 1,20,000 to Neha was successful."
spam,Your Google Pay subscription payment failed. Update payment info urgently at http://secure-kyc-update.info/login to avoid account closure.
spam,"Limited time offer! Get Rs. 999 cashback instantly, just verify your UPI PIN at http://account-verify.top/otp"
spam,"Your electricity bill of Rs. 4,999 is overdue and will be disconnected tonight. Pay immediately: http://tinyurl.com/claim-reward"
spam,Final notice: pay $500 immediately or legal action will be taken. Pay now at http://tinyurl.com/claim-reward
ham,Your order from Flipkart has been shipped and will arrive in 2 days.
spam,"Job offer: Earn Rs. 1,20,000 per day working from home. Register now at http://payment-refund.xyz/claim, limited seats!"
spam,We could not deliver your package. Reschedule and pay $500 fee at http://payment-refund.xyz/claim within 12 hours.
spam,Your parcel is on hold due to unpaid customs fee of Rs. 499. Pay here: http://payment-refund.xyz/claim
spam,"Free recharge of Rs. 1,20,000 is waiting for you! Click http://secure-kyc-update.info/login now, offer ends soon."
spam,Your parcel is on hold due to unpaid customs fee of $500. Pay here: http://account-verify.top/otp
spam,Your PayTM account shows unusual activity. Confirm your password at http://payment-refund.xyz/claim to avoid suspension.
spam,"Free recharge of $500 is waiting for you! Click http://tinyurl.com/claim-reward now, offer ends soon."
spam,You have received a refund of $500. Click http://account-verify.top/otp and enter your OTP to receive the amount.
spam,"Congratulations! You have won Rs. 4,999 in the lucky draw. Claim now at http://t.co/x9Ks2 before it expires today."
spam,We could not deliver your package. Reschedule and pay $500 fee at http://tinyurl.com/claim-reward within 12 hours.
spam,"Limited time offer! Get Rs. 499 cashback instantly, just verify your UPI PIN at http://payment-refund.xyz/claim"
spam,"You have received a refund of Rs. 1,20,000. Click http://t.co/x9Ks2 and enter your OTP to receive the amount."
spam,URGENT: Your ICICI Bank account has been suspended. Verify your KYC immediately at http://tinyurl.com/claim-reward or it will be permanently blocked.
spam,"Your income tax refund of Rs. 15,750 is approved. Submit your bank details at http://tinyurl.com/claim-reward to receive it."
spam,"We could not deliver your package. Reschedule and pay Rs. 1,20,000 fee at http://t.co/x9Ks2 within 12 hours."
ham,Your payment of Rs. 499 to Anjali was successful.
spam,"Dear customer, your ATM card will be blocked today. Update your details now: http://bit.ly/verify-now"
spam,"CONGRATULATIONS Vikram! Your number has won a lottery of Rs. 15,750. Reply with your bank details to claim."
spam,"CONGRATULATIONS Anjali! Your number has won a lottery of Rs. 25,000. Reply with your bank details to claim."
ham,Happy birthday Anjali! Hope you have a wonderful day.
spam,Congratulations! You have won $500 in the lucky draw. Claim now at http://bit.ly/verify-now before it expires today.
spam,CONGRATULATIONS Vikram! Your number has won a lottery of Rs. 499. Reply with your bank details to claim.
spam,"Free recharge of $500 is waiting for you! Click http://payment-refund.xyz/claim now, offer ends soon."
spam,Your parcel is on hold due to unpaid customs fee of Rs. 999. Pay here: http://tinyurl.com/claim-reward
spam,"Your parcel is on hold due to unpaid customs fee of Rs. 25,000. Pay here: http://payment-refund.xyz/claim"
spam,"Free recharge of Rs. 499 is waiting for you! Click http://account-verify.top/otp now, offer ends soon."
spam,We could not deliver your package. Reschedule and pay $500 fee at http://t.co/x9Ks2 within 12 hours.
spam,Your Amazon subscription payment failed. Update payment info urgently at http://t.co/x9Ks2 to avoid account closure.
spam,URGENT: Your your bank account has been suspended. Verify your KYC immediately at http://tinyurl.com/claim-reward or it will be permanently blocked.
spam,"CONGRATULATIONS Anjali! Your number has won a lottery of Rs. 1,20,000. Reply with your bank details to claim."
ham,"Hey Anjali, are we still meeting for lunch tomorrow at 1pm?"
spam,CONGRATULATIONS Sneha! Your number has won a lottery of Rs. 999. Reply with your bank details to claim.
spam,Final notice: pay $500 immediately or legal action will be taken. Pay now at http://t.co/x9Ks2
spam,"Your electricity bill of Rs. 1,20,000 is overdue and will be disconnected tonight. Pay immediately: http://account-verify.top/otp"
spam,URGENT: Your ICICI Bank account has been suspended. Verify your KYC immediately at http://account-verify.top/otp or it will be permanently blocked.
spam,"CONGRATULATIONS Arjun! Your number has won a lottery of Rs. 25,000. Reply with your bank details to claim."
spam,Your Netflix account shows unusual activity. Confirm your password at http://bit.ly/verify-now to avoid suspension.
spam,Your Netflix subscription payment failed. Update payment info urgently at http://t.co/x9Ks2 to avoid account closure.
spam,You have received a refund of Rs. 999. Click http://tinyurl.com/claim-reward and enter your OTP to receive the amount.
spam,"Final notice: pay Rs. 1,20,000 immediately or legal action will be taken. Pay now at http://account-verify.top/otp"
ham,"Your payment of Rs. 4,999 to Arjun was successful."
spam,Your income tax refund of Rs. 499 is approved. Submit your bank details at http://payment-refund.xyz/claim to receive it.
spam,"Job offer: Earn Rs. 15,750 per day working from home. Register now at http://secure-kyc-update.info/login, limited seats!"
spam,You have received a refund of $500. Click http://t.co/x9Ks2 and enter your OTP to receive the amount.
spam,Your Flipkart subscription payment failed. Update payment info urgently at http://t.co/x9Ks2 to avoid account closure.
spam,You have received a refund of Rs. 999. Click http://secure-kyc-update.info/login and enter your OTP to receive the amount.
spam,"CONGRATULATIONS Priya! Your number has won a lottery of Rs. 1,20,000. Reply with your bank details to claim."
spam,"Final notice: pay Rs. 15,750 immediately or legal action will be taken. Pay now at http://account-verify.top/otp"
spam,We could not deliver your package. Reschedule and pay Rs. 499 fee at http://bit.ly/verify-now within 12 hours.
spam,"Limited time offer! Get Rs. 25,000 cashback instantly, just verify your UPI PIN at http://account-verify.top/otp"
spam,"Your electricity bill of Rs. 15,750 is overdue and will be disconnected tonight. Pay immediately: http://bit.ly/verify-now"
spam,Your Flipkart subscription payment failed. Update payment info urgently at http://secure-kyc-update.info/login to avoid account closure.
spam,Your your telecom provider subscription payment failed. Update payment info urgently at http://t.co/x9Ks2 to avoid account closure.
ham,"Your payment of Rs. 1,20,000 to Priya was successful."
spam,Your income tax refund of Rs. 999 is approved. Submit your bank details at http://t.co/x9Ks2 to receive it.
spam,"Limited time offer! Get $500 cashback instantly, just verify your UPI PIN at http://t.co/x9Ks2"
spam,"Free recharge of Rs. 15,750 is waiting for you! Click http://tinyurl.com/claim-reward now, offer ends soon."
spam,Your electricity bill of $500 is overdue and will be disconnected tonight. Pay immediately: http://secure-kyc-update.info/login
spam,URGENT: Your PNB account has been suspended. Verify your KYC immediately at http://bit.ly/verify-now or it will be permanently blocked.
spam,"Your income tax refund of Rs. 4,999 is approved. Submit your bank details at http://payment-refund.xyz/claim to receive it."
spam,"Limited time offer! Get Rs. 25,000 cashback instantly, just verify your UPI PIN at http://bit.ly/verify-now"
ham,Happy birthday Arjun! Hope you have a wonderful day.
spam,URGENT: Your Kotak Bank account has been suspended. Verify your KYC immediately at http://t.co/x9Ks2 or it will be permanently blocked.
spam,"Congratulations! You have won Rs. 15,750 in the lucky draw. Claim now at http://secure-kyc-update.info/login before it expires today."
spam,URGENT: Your ICICI Bank account has been suspended. Verify your KYC immediately at http://secure-kyc-update.info/login or it will be permanently blocked.
ham,Your payment of Rs. 499 to Amit was successful.
spam,"Your income tax refund of Rs. 1,20,000 is approved. Submit your bank details at http://account-verify.top/otp to receive it."
spam,Your SBI debit card is expiring today. Renew instantly by sharing OTP sent to your phone.
spam,"You have received a refund of Rs. 4,999. Click http://t.co/x9Ks2 and enter your OTP to receive the amount."
ham,"Hey Arjun, are we still meeting for lunch tomorrow at 1pm?"
spam,Your electricity bill of $500 is overdue and will be disconnected tonight. Pay immediately: http://tinyurl.com/claim-reward
spam,"We could not deliver your package. Reschedule and pay Rs. 15,750 fee at http://secure-kyc-update.info/login within 12 hours."
ham,"Hey Neha, are we still meeting for lunch tomorrow at 1pm?"
spam,"We could not deliver your package. Reschedule and pay Rs. 25,000 fee at http://t.co/x9Ks2 within 12 hours."
spam,Your electricity bill of $500 is overdue and will be disconnected tonight. Pay immediately: http://bit.ly/verify-now
spam,Congratulations! You have won $500 in the lucky draw. Claim now at http://secure-kyc-update.info/login before it expires today.
spam,You have received a refund of $500. Click http://tinyurl.com/claim-reward and enter your OTP to receive the amount.
spam,"Limited time offer! Get Rs. 15,750 cashback instantly, just verify your UPI PIN at http://secure-kyc-update.info/login"
spam,CONGRATULATIONS Priya! Your number has won a lottery of $500. Reply with your bank details to claim.
spam,"CONGRATULATIONS Vikram! Your number has won a lottery of Rs. 4,999. Reply with your bank details to claim."
spam,Final notice: pay Rs. 499 immediately or legal action will be taken. Pay now at http://payment-refund.xyz/claim
spam,Your electricity bill of Rs. 499 is overdue and will be disconnected tonight. Pay immediately: http://account-verify.top/otp
spam,Your Google Pay account shows unusual activity. Confirm your password at http://secure-kyc-update.info/login to avoid suspension.
spam,"You have received a refund of Rs. 25,000. Click http://payment-refund.xyz/claim and enter your OTP to receive the amount."
spam,"Final notice: pay Rs. 25,000 immediately or legal action will be taken. Pay now at http://account-verify.top/otp"
spam,"Congratulations! You have won Rs. 25,000 in the lucky draw. Claim now at http://payment-refund.xyz/claim before it expires today."
spam,"Job offer: Earn $500 per day working from home. Register now at http://payment-refund.xyz/claim, limited seats!"
spam,"Job offer: Earn Rs. 4,999 per day working from home. Register now at http://tinyurl.com/claim-reward, limited seats!"
spam,CONGRATULATIONS Amit! Your number has won a lottery of $500. Reply with your bank details to claim.
spam,"We could not deliver your package. Reschedule and pay Rs. 4,999 fee at http://account-verify.top/otp within 12 hours."
ham,"Your payment of Rs. 4,999 to Neha was successful."
spam,Your parcel is on hold due to unpaid customs fee of $500. Pay here: http://payment-refund.xyz/claim
spam,Your Amazon account shows unusual activity. Confirm your password at http://secure-kyc-update.info/login to avoid suspension.
